iter	Logloss
0	0.0301697054
1	0.009125775295
2	0.007072152332
3	0.006651107407
4	0.00644938797
5	0.006391801016
6	0.006373307889
7	0.006362333832
8	0.006344520394
9	0.006330532502
10	0.00631890275
11	0.006311586854
12	0.006268274829
13	0.006263702712
14	0.006252036098
15	0.006238633574
16	0.006234813811
17	0.006229829677
18	0.006201632016
19	0.006200794958
20	0.00619829611
21	0.006195418816
22	0.006190717174
23	0.006185682562
24	0.006180905183
25	0.006176307093
26	0.006171333113
27	0.006169553246
28	0.006167705941
29	0.006164879888
30	0.006161893007
31	0.006160535911
32	0.006148262946
33	0.006146233058
34	0.006142276417
35	0.006139320512
36	0.006137158304
37	0.006133345047
38	0.006131387542
39	0.006129151574
40	0.006117754296
41	0.006115170659
42	0.006111892689
43	0.006110747633
44	0.006106827221
45	0.006105391062
46	0.006101422579
47	0.006100794436
48	0.006095333175
49	0.006094674724
50	0.006091920719
51	0.006090739535
52	0.006088939431
53	0.006086462451
54	0.006083375477
55	0.006075086749
56	0.006073644221
57	0.00607356276
58	0.006071388198
59	0.006068706358
60	0.006053562014
61	0.006052978229
62	0.00605107085
63	0.006046625475
64	0.006044556534
65	0.00604339376
66	0.006043294265
67	0.006042768978
68	0.006041667862
69	0.006039588318
70	0.006037552393
71	0.006028472778
72	0.006026842424
73	0.006025321995
74	0.006024527918
75	0.006023150752
76	0.006020691051
77	0.006020366896
78	0.006016432242
79	0.006010761484
80	0.006008360873
81	0.006001428454
82	0.006000222922
83	0.005999433439
84	0.005998233599
85	0.005995789458
86	0.005994012153
87	0.005990617441
88	0.005990542987
89	0.005990059202
90	0.005987933102
91	0.00598767102
92	0.005987195816
93	0.005986201545
94	0.005982218904
95	0.005979719647
96	0.005978044396
97	0.005977170808
98	0.005976865843
99	0.005976497675
100	0.0059735468
101	0.005972761827
102	0.005963990156
103	0.005956474515
104	0.005956249014
105	0.005951819152
106	0.005948343583
107	0.005947984479
108	0.005945580896
109	0.005943955299
110	0.005942576901
111	0.005939983372
112	0.005938754735
113	0.005937449403
114	0.005936922593
115	0.005930746529
116	0.005930133223
117	0.005929484886
118	0.00592718215
119	0.005925427485
120	0.005924290603
121	0.005924132255
122	0.005922705628
123	0.005921443208
124	0.005921255824
125	0.005919905934
126	0.005919119158
127	0.005917092877
128	0.005912886906
129	0.005911060651
130	0.005907830797
131	0.005903942448
132	0.005903711744
133	0.005901829948
134	0.005900552085
135	0.005900438495
136	0.005899504987
137	0.005899035473
138	0.005897759303
139	0.005897114869
140	0.005897093254
141	0.005894190703
142	0.005894125579
143	0.00589399636
144	0.005893163509
145	0.005889591542
146	0.00588739917
147	0.005887361453
148	0.005884170895
149	0.005882465495
150	0.005879618609
151	0.005879531066
152	0.005877760796
153	0.005874943102
154	0.005874857431
155	0.005872283722
156	0.005871487581
157	0.005870533686
158	0.005867847457
159	0.005865991667
160	0.005861967598
161	0.005860062509
162	0.00585844892
0.00527484549
164	0.005273414056
165	0.005271477366
166	0.005271339124
167	0.005269281923
168	0.005264229246
169	0.005262200265
170	0.005261610693
171	0.005257432128
172	0.005256790058
173	0.005252744235
174	0.005250433594
175	0.005249864094
176	0.00524881471
177	0.005247477976
178	0.005246190598
179	0.005243786884
180	0.00524163002
181	0.005241316414
182	0.005241267112
183	0.005240443496
184	0.005240301344
185	0.005235705233
186	0.005233470183
187	0.00523299328
188	0.005232143545
189	0.005231273204
190	0.005228352637
191	0.00522723817
192	0.005226863735
193	0.005224974361
194	0.00521919728
195	0.005217829452
196	0.00521277552
197	0.005212090408
198	0.005211459855
199	0.00521005065
200	0.00520777744
201	0.005207363502
202	0.005206297928
203	0.005204543298
204	0.005203901831
205	0.005203333798
206	0.005199448555
207	0.005199281886
208	0.005199225837
209	0.005198414662
210	0.005194181308
211	0.005193083832
212	0.005192902153
213	0.00519154434
214	0.005187975488
215	0.005186565065
216	0.005186182013
217	0.005185046892
218	0.005182577606
219	0.00518038983
220	0.005180010521
221	0.005178870397
222	0.005177174957
223	0.005176992457
224	0.005176701459
225	0.005174959023
226	0.005173964875
227	0.005173638002
